,date,basinName,damName,energyGeneration,damId
0,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ERMENEK,492.88,54
1,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BALKUSAN,1.5,55
2,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ALAKÖPRÜ,3.36,56
3,2025-11-18 00:00:00+03:00,Seyhan,ÇATALAN,4.5,57
4,2025-11-18 00:00:00+03:00,Seyhan,BAHÇELİK,3.92,59
5,2025-11-18 00:00:00+03:00,Seyhan,YEDİGÖZE,1.72,60
6,2025-11-18 00:00:00+03:00,Seyhan,FEKE-2,2.16,61
7,2025-11-18 00:00:00+03:00,Seyhan,MENGE HES,0.93,62
8,2025-11-18 00:00:00+03:00,Seyhan,KAVŞAKBENDİ HES,1.21,64
9,2025-11-18 00:00:00+03:00,Seyhan,GÜMÜŞÖREN,1.94,65
10,2025-11-18 00:00:00+03:00,Seyhan,GÖKTAŞ-1,1.96,66
11,2025-11-18 00:00:00+03:00,Ceyhan,ASLANTAŞ,48.56,67
12,2025-11-18 00:00:00+03:00,Ceyhan,MENZELET,63.21,68
13,2025-11-18 00:00:00+03:00,Ceyhan,SIR,38.45,69
14,2025-11-18 00:00:00+03:00,Ceyhan,KOZAN,0.79,70
15,2025-11-18 00:00:00+03:00,Ceyhan,KARTALKAYA,1.53,72
16,2025-11-18 00:00:00+03:00,Ceyhan,BERKE ,125.35,73
17,2025-11-18 00:00:00+03:00,Ceyhan,KILAVUZLU,0.53,74
18,2025-11-18 00:00:00+03:00,Ceyhan,KANDİL HES,33.43,75
19,2025-11-18 00:00:00+03:00,Ceyhan,SARIGÜZEL HES,1.3,76
20,2025-11-18 00:00:00+03:00,Doğu Karadeniz,KÜRTÜN,6.3,77
21,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TORUL,0.65,78
22,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TOPÇAM-ORDU,20.92,80
23,2025-11-18 00:00:00+03:00,Van Gölü,SARIMEHMET,1.64,83
24,2025-11-18 00:00:00+03:00,Van Gölü,ZERNEK,3.43,84
25,2025-11-18 00:00:00+03:00,Doğu Akdeniz,YALNIZARDIÇ,0.77,101
26,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇEKEREK,12.35,301
27,2025-11-18 00:00:00+03:00,Sakarya,KARGI BARAJI VE HES,1.18,401
28,2025-11-18 00:00:00+03:00,Asi,BÜYÜK KARAÇAY,0.01,601
29,2025-11-18 00:00:00+03:00,Batı Karadeniz,KİRAZLIKÖPRÜ,0.11,801
30,2025-11-18 00:00:00+03:00,Antalya,MANAVGAT,1.76,20
31,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-1 BARAJI,2.82,702
32,2025-11-18 00:00:00+03:00,Doğu Karadeniz,ALADEREÇAM,1.45,705
33,2025-11-18 00:00:00+03:00,Marmara,YENİCE-GÖNEN,0.77,1
34,2025-11-18 00:00:00+03:00,Susurluk,ÇAYGÖREN,1.03,2
35,2025-11-18 00:00:00+03:00,Susurluk,MANYAS,7.25,3
36,2025-11-18 00:00:00+03:00,Susurluk,ÇINARCIK,93.4,4
37,2025-11-18 00:00:00+03:00,Susurluk,DEVECİKONAĞI,0.06,5
38,2025-11-18 00:00:00+03:00,Kuzey Ege,BAYRAMİÇ,0.0,6
39,2025-11-18 00:00:00+03:00,Büyük Menderes,ÇAPALI DİNAR KARAKUYU,1.12,10
40,2025-11-18 00:00:00+03:00,Büyük Menderes,CİNDERE,1.99,11
41,2025-11-18 00:00:00+03:00,Antalya,KARACAÖREN II,0.97,18
42,2025-11-18 00:00:00+03:00,Antalya,SORGUN,1.12,23
43,2025-11-18 00:00:00+03:00,Sakarya,YENİCE,0.04,25
44,2025-11-18 00:00:00+03:00,Sakarya,SARIYAR,88.97,26
45,2025-11-18 00:00:00+03:00,Batı Karadeniz,HASANLAR,1.5,28
46,2025-11-18 00:00:00+03:00,Batı Karadeniz,KÖPRÜBAŞI,18.81,29
47,2025-11-18 00:00:00+03:00,Yeşilırmak,KILIÇKAYA,85.83,31
48,2025-11-18 00:00:00+03:00,Yeşilırmak,H.UĞURLU,81.44,32
49,2025-11-18 00:00:00+03:00,Yeşilırmak,ALMUS,23.11,35
50,2025-11-18 00:00:00+03:00,Yeşilırmak,TEPEKIŞLA,0.86,38
51,2025-11-18 00:00:00+03:00,Kızılırmak,ALTINKAYA,240.57,41
52,2025-11-18 00:00:00+03:00,Kızılırmak,DERBENT,1.84,42
53,2025-11-18 00:00:00+03:00,Kızılırmak,KESİKKÖPRÜ,5.13,44
54,2025-11-18 00:00:00+03:00,Kızılırmak,KAPULUKAYA,6.96,45
55,2025-11-18 00:00:00+03:00,Kızılırmak,OBRUK,15.99,47
56,2025-11-18 00:00:00+03:00,Kızılırmak,BAYRAMHACILI HES,5.8,48
57,2025-11-18 00:00:00+03:00,Kızılırmak,ÇERMİKLER,0.4,50
58,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BERDAN,2.35,53
59,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GÖKÇELER,0.3,1001
60,2025-11-18 00:00:00+03:00,Seyhan,KARAKUZ,2.29,1002
61,2025-11-18 00:00:00+03:00,Doğu Akdeniz,PAMUKLUK,32.2,1101
62,2025-11-18 00:00:00+03:00,Van Gölü,MORGEDİK,6.17,1201
63,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-2,0.1,1701
64,2025-11-18 00:00:00+03:00,Antalya,OYMAPINAR,5.47,19
65,2025-11-18 00:00:00+03:00,Sakarya,GÖKÇEKAYA,18.23,24
66,2025-11-18 00:00:00+03:00,Yeşilırmak,ATAKÖY,0.04,30
67,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇAMLIGÖZE,1.17,33
68,2025-11-18 00:00:00+03:00,Yeşilırmak,GÖLOVA,0.22,36
69,2025-11-18 00:00:00+03:00,Kızılırmak,YAMULA,21.12,46
70,2025-11-18 00:00:00+03:00,Kızılırmak,BOYABAT,187.27,49
71,2025-11-18 00:00:00+03:00,Kızılırmak,GÜLDÜRCEK,0.62,51
72,2025-11-18 00:00:00+03:00,Ceyhan,ADATEPE,17.95,201
73,2025-11-18 00:00:00+03:00,Doğu Karadeniz,YAŞMAKLI,18.77,703
74,2025-11-18 00:00:00+03:00,Kızılırmak,KARGI KIZILIRMAK,0.59,2101
75,2025-11-18 00:00:00+03:00,Batı Akdeniz,ALAKIR,0.12,15
76,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GEZENDE,9.74,52
77,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ERMENEK,492.88,54
78,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BALKUSAN,1.5,55
79,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ALAKÖPRÜ,3.36,56
80,2025-11-18 00:00:00+03:00,Seyhan,ÇATALAN,4.5,57
81,2025-11-18 00:00:00+03:00,Seyhan,BAHÇELİK,3.92,59
82,2025-11-18 00:00:00+03:00,Seyhan,YEDİGÖZE,1.72,60
83,2025-11-18 00:00:00+03:00,Seyhan,FEKE-2,2.16,61
84,2025-11-18 00:00:00+03:00,Seyhan,MENGE HES,0.93,62
85,2025-11-18 00:00:00+03:00,Seyhan,KAVŞAKBENDİ HES,1.21,64
86,2025-11-18 00:00:00+03:00,Seyhan,GÜMÜŞÖREN,1.94,65
87,2025-11-18 00:00:00+03:00,Seyhan,GÖKTAŞ-1,1.96,66
88,2025-11-18 00:00:00+03:00,Ceyhan,ASLANTAŞ,48.56,67
89,2025-11-18 00:00:00+03:00,Ceyhan,MENZELET,63.21,68
90,2025-11-18 00:00:00+03:00,Ceyhan,SIR,38.45,69
91,2025-11-18 00:00:00+03:00,Ceyhan,KOZAN,0.79,70
92,2025-11-18 00:00:00+03:00,Ceyhan,KARTALKAYA,1.53,72
93,2025-11-18 00:00:00+03:00,Ceyhan,BERKE ,125.35,73
94,2025-11-18 00:00:00+03:00,Ceyhan,KILAVUZLU,0.53,74
95,2025-11-18 00:00:00+03:00,Ceyhan,KANDİL HES,33.43,75
96,2025-11-18 00:00:00+03:00,Ceyhan,SARIGÜZEL HES,1.3,76
97,2025-11-18 00:00:00+03:00,Doğu Karadeniz,KÜRTÜN,6.3,77
98,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TORUL,0.65,78
99,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TOPÇAM-ORDU,20.92,80
100,2025-11-18 00:00:00+03:00,Van Gölü,SARIMEHMET,1.64,83
101,2025-11-18 00:00:00+03:00,Van Gölü,ZERNEK,3.43,84
102,2025-11-18 00:00:00+03:00,Doğu Akdeniz,YALNIZARDIÇ,0.77,101
103,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇEKEREK,12.35,301
104,2025-11-18 00:00:00+03:00,Sakarya,KARGI BARAJI VE HES,1.18,401
105,2025-11-18 00:00:00+03:00,Asi,BÜYÜK KARAÇAY,0.01,601
106,2025-11-18 00:00:00+03:00,Batı Karadeniz,KİRAZLIKÖPRÜ,0.11,801
107,2025-11-18 00:00:00+03:00,Antalya,MANAVGAT,1.76,20
108,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-1 BARAJI,2.82,702
109,2025-11-18 00:00:00+03:00,Doğu Karadeniz,ALADEREÇAM,1.45,705
110,2025-11-18 00:00:00+03:00,Marmara,YENİCE-GÖNEN,0.77,1
111,2025-11-18 00:00:00+03:00,Susurluk,ÇAYGÖREN,1.03,2
112,2025-11-18 00:00:00+03:00,Susurluk,MANYAS,7.25,3
113,2025-11-18 00:00:00+03:00,Susurluk,ÇINARCIK,93.4,4
114,2025-11-18 00:00:00+03:00,Susurluk,DEVECİKONAĞI,0.06,5
115,2025-11-18 00:00:00+03:00,Kuzey Ege,BAYRAMİÇ,0.0,6
116,2025-11-18 00:00:00+03:00,Büyük Menderes,ÇAPALI DİNAR KARAKUYU,1.12,10
117,2025-11-18 00:00:00+03:00,Büyük Menderes,CİNDERE,1.99,11
118,2025-11-18 00:00:00+03:00,Antalya,KARACAÖREN II,0.97,18
119,2025-11-18 00:00:00+03:00,Antalya,SORGUN,1.12,23
120,2025-11-18 00:00:00+03:00,Sakarya,YENİCE,0.04,25
121,2025-11-18 00:00:00+03:00,Sakarya,SARIYAR,88.97,26
122,2025-11-18 00:00:00+03:00,Batı Karadeniz,HASANLAR,1.5,28
123,2025-11-18 00:00:00+03:00,Batı Karadeniz,KÖPRÜBAŞI,18.81,29
124,2025-11-18 00:00:00+03:00,Yeşilırmak,KILIÇKAYA,85.83,31
125,2025-11-18 00:00:00+03:00,Yeşilırmak,H.UĞURLU,81.44,32
126,2025-11-18 00:00:00+03:00,Yeşilırmak,ALMUS,23.11,35
127,2025-11-18 00:00:00+03:00,Yeşilırmak,TEPEKIŞLA,0.86,38
128,2025-11-18 00:00:00+03:00,Kızılırmak,ALTINKAYA,240.57,41
129,2025-11-18 00:00:00+03:00,Kızılırmak,DERBENT,1.84,42
130,2025-11-18 00:00:00+03:00,Kızılırmak,KESİKKÖPRÜ,5.13,44
131,2025-11-18 00:00:00+03:00,Kızılırmak,KAPULUKAYA,6.96,45
132,2025-11-18 00:00:00+03:00,Kızılırmak,OBRUK,15.99,47
133,2025-11-18 00:00:00+03:00,Kızılırmak,BAYRAMHACILI HES,5.8,48
134,2025-11-18 00:00:00+03:00,Kızılırmak,ÇERMİKLER,0.4,50
135,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BERDAN,2.35,53
136,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GÖKÇELER,0.3,1001
137,2025-11-18 00:00:00+03:00,Seyhan,KARAKUZ,2.29,1002
138,2025-11-18 00:00:00+03:00,Doğu Akdeniz,PAMUKLUK,32.2,1101
139,2025-11-18 00:00:00+03:00,Van Gölü,MORGEDİK,6.17,1201
140,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-2,0.1,1701
141,2025-11-18 00:00:00+03:00,Antalya,OYMAPINAR,5.47,19
142,2025-11-18 00:00:00+03:00,Sakarya,GÖKÇEKAYA,18.23,24
143,2025-11-18 00:00:00+03:00,Yeşilırmak,ATAKÖY,0.04,30
144,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇAMLIGÖZE,1.17,33
145,2025-11-18 00:00:00+03:00,Yeşilırmak,GÖLOVA,0.22,36
146,2025-11-18 00:00:00+03:00,Kızılırmak,YAMULA,21.12,46
147,2025-11-18 00:00:00+03:00,Kızılırmak,BOYABAT,187.27,49
148,2025-11-18 00:00:00+03:00,Kızılırmak,GÜLDÜRCEK,0.62,51
149,2025-11-18 00:00:00+03:00,Ceyhan,ADATEPE,17.95,201
150,2025-11-18 00:00:00+03:00,Doğu Karadeniz,YAŞMAKLI,18.77,703
151,2025-11-18 00:00:00+03:00,Kızılırmak,KARGI KIZILIRMAK,0.59,2101
152,2025-11-18 00:00:00+03:00,Batı Akdeniz,ALAKIR,0.12,15
153,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GEZENDE,9.74,52
154,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ERMENEK,492.88,54
155,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BALKUSAN,1.5,55
156,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ALAKÖPRÜ,3.36,56
157,2025-11-18 00:00:00+03:00,Seyhan,ÇATALAN,4.5,57
158,2025-11-18 00:00:00+03:00,Seyhan,BAHÇELİK,3.92,59
159,2025-11-18 00:00:00+03:00,Seyhan,YEDİGÖZE,1.72,60
160,2025-11-18 00:00:00+03:00,Seyhan,FEKE-2,2.16,61
161,2025-11-18 00:00:00+03:00,Seyhan,MENGE HES,0.93,62
162,2025-11-18 00:00:00+03:00,Seyhan,KAVŞAKBENDİ HES,1.21,64
163,2025-11-18 00:00:00+03:00,Seyhan,GÜMÜŞÖREN,1.94,65
164,2025-11-18 00:00:00+03:00,Seyhan,GÖKTAŞ-1,1.96,66
165,2025-11-18 00:00:00+03:00,Ceyhan,ASLANTAŞ,48.56,67
166,2025-11-18 00:00:00+03:00,Ceyhan,MENZELET,63.21,68
167,2025-11-18 00:00:00+03:00,Ceyhan,SIR,38.45,69
168,2025-11-18 00:00:00+03:00,Ceyhan,KOZAN,0.79,70
169,2025-11-18 00:00:00+03:00,Ceyhan,KARTALKAYA,1.53,72
170,2025-11-18 00:00:00+03:00,Ceyhan,BERKE ,125.35,73
171,2025-11-18 00:00:00+03:00,Ceyhan,KILAVUZLU,0.53,74
172,2025-11-18 00:00:00+03:00,Ceyhan,KANDİL HES,33.43,75
173,2025-11-18 00:00:00+03:00,Ceyhan,SARIGÜZEL HES,1.3,76
174,2025-11-18 00:00:00+03:00,Doğu Karadeniz,KÜRTÜN,6.3,77
175,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TORUL,0.65,78
176,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TOPÇAM-ORDU,20.92,80
177,2025-11-18 00:00:00+03:00,Van Gölü,SARIMEHMET,1.64,83
178,2025-11-18 00:00:00+03:00,Van Gölü,ZERNEK,3.43,84
179,2025-11-18 00:00:00+03:00,Doğu Akdeniz,YALNIZARDIÇ,0.77,101
180,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇEKEREK,12.35,301
181,2025-11-18 00:00:00+03:00,Sakarya,KARGI BARAJI VE HES,1.18,401
182,2025-11-18 00:00:00+03:00,Asi,BÜYÜK KARAÇAY,0.01,601
183,2025-11-18 00:00:00+03:00,Batı Karadeniz,KİRAZLIKÖPRÜ,0.11,801
184,2025-11-18 00:00:00+03:00,Antalya,MANAVGAT,1.76,20
185,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-1 BARAJI,2.82,702
186,2025-11-18 00:00:00+03:00,Doğu Karadeniz,ALADEREÇAM,1.45,705
187,2025-11-18 00:00:00+03:00,Marmara,YENİCE-GÖNEN,0.77,1
188,2025-11-18 00:00:00+03:00,Susurluk,ÇAYGÖREN,1.03,2
189,2025-11-18 00:00:00+03:00,Susurluk,MANYAS,7.25,3
190,2025-11-18 00:00:00+03:00,Susurluk,ÇINARCIK,93.4,4
191,2025-11-18 00:00:00+03:00,Susurluk,DEVECİKONAĞI,0.06,5
192,2025-11-18 00:00:00+03:00,Kuzey Ege,BAYRAMİÇ,0.0,6
193,2025-11-18 00:00:00+03:00,Büyük Menderes,ÇAPALI DİNAR KARAKUYU,1.12,10
194,2025-11-18 00:00:00+03:00,Büyük Menderes,CİNDERE,1.99,11
195,2025-11-18 00:00:00+03:00,Antalya,KARACAÖREN II,0.97,18
196,2025-11-18 00:00:00+03:00,Antalya,SORGUN,1.12,23
197,2025-11-18 00:00:00+03:00,Sakarya,YENİCE,0.04,25
198,2025-11-18 00:00:00+03:00,Sakarya,SARIYAR,88.97,26
199,2025-11-18 00:00:00+03:00,Batı Karadeniz,HASANLAR,1.5,28
200,2025-11-18 00:00:00+03:00,Batı Karadeniz,KÖPRÜBAŞI,18.81,29
201,2025-11-18 00:00:00+03:00,Yeşilırmak,KILIÇKAYA,85.83,31
202,2025-11-18 00:00:00+03:00,Yeşilırmak,H.UĞURLU,81.44,32
203,2025-11-18 00:00:00+03:00,Yeşilırmak,ALMUS,23.11,35
204,2025-11-18 00:00:00+03:00,Yeşilırmak,TEPEKIŞLA,0.86,38
205,2025-11-18 00:00:00+03:00,Kızılırmak,ALTINKAYA,240.57,41
206,2025-11-18 00:00:00+03:00,Kızılırmak,DERBENT,1.84,42
207,2025-11-18 00:00:00+03:00,Kızılırmak,KESİKKÖPRÜ,5.13,44
208,2025-11-18 00:00:00+03:00,Kızılırmak,KAPULUKAYA,6.96,45
209,2025-11-18 00:00:00+03:00,Kızılırmak,OBRUK,15.99,47
210,2025-11-18 00:00:00+03:00,Kızılırmak,BAYRAMHACILI HES,5.8,48
211,2025-11-18 00:00:00+03:00,Kızılırmak,ÇERMİKLER,0.4,50
212,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BERDAN,2.35,53
213,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GÖKÇELER,0.3,1001
214,2025-11-18 00:00:00+03:00,Seyhan,KARAKUZ,2.29,1002
215,2025-11-18 00:00:00+03:00,Doğu Akdeniz,PAMUKLUK,32.2,1101
216,2025-11-18 00:00:00+03:00,Van Gölü,MORGEDİK,6.17,1201
217,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-2,0.1,1701
218,2025-11-18 00:00:00+03:00,Antalya,OYMAPINAR,5.47,19
219,2025-11-18 00:00:00+03:00,Sakarya,GÖKÇEKAYA,18.23,24
220,2025-11-18 00:00:00+03:00,Yeşilırmak,ATAKÖY,0.04,30
221,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇAMLIGÖZE,1.17,33
222,2025-11-18 00:00:00+03:00,Yeşilırmak,GÖLOVA,0.22,36
223,2025-11-18 00:00:00+03:00,Kızılırmak,YAMULA,21.12,46
224,2025-11-18 00:00:00+03:00,Kızılırmak,BOYABAT,187.27,49
225,2025-11-18 00:00:00+03:00,Kızılırmak,GÜLDÜRCEK,0.62,51
226,2025-11-18 00:00:00+03:00,Ceyhan,ADATEPE,17.95,201
227,2025-11-18 00:00:00+03:00,Doğu Karadeniz,YAŞMAKLI,18.77,703
228,2025-11-18 00:00:00+03:00,Kızılırmak,KARGI KIZILIRMAK,0.59,2101
229,2025-11-18 00:00:00+03:00,Batı Akdeniz,ALAKIR,0.12,15
230,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GEZENDE,9.74,52
