,date,time,consumption
0,2024-10-25 00:00:00+03:00,2025-11-19 03:00:00+03:00,34631.43
1,2024-10-25 01:00:00+03:00,2025-11-19 04:00:00+03:00,33092.17
2,2024-10-25 02:00:00+03:00,2025-11-19 05:00:00+03:00,32037.92
3,2024-10-25 03:00:00+03:00,2025-11-19 06:00:00+03:00,31268.95
4,2024-10-25 04:00:00+03:00,2025-11-19 07:00:00+03:00,31052.39
5,2024-10-25 05:00:00+03:00,2025-11-19 08:00:00+03:00,31517.41
6,2024-10-25 06:00:00+03:00,2025-11-19 09:00:00+03:00,32834.59
7,2024-10-25 07:00:00+03:00,2025-11-19 10:00:00+03:00,34271.09
8,2024-10-25 08:00:00+03:00,2025-11-19 11:00:00+03:00,38676.25
9,2024-10-25 09:00:00+03:00,2025-11-19 12:00:00+03:00,40955.42
10,2024-10-25 10:00:00+03:00,2025-11-19 13:00:00+03:00,41670.98
11,2024-10-25 11:00:00+03:00,2025-11-19 14:00:00+03:00,41779.28
12,2024-10-25 12:00:00+03:00,2025-11-19 15:00:00+03:00,38784.93
13,2024-10-25 13:00:00+03:00,2025-11-19 16:00:00+03:00,38919.56
14,2024-10-25 14:00:00+03:00,2025-11-19 17:00:00+03:00,40718.38
15,2024-10-25 15:00:00+03:00,2025-11-19 18:00:00+03:00,40315.27
16,2024-10-25 16:00:00+03:00,2025-11-19 19:00:00+03:00,41420.19
17,2024-10-25 17:00:00+03:00,2025-11-19 20:00:00+03:00,42667.6
18,2024-10-25 18:00:00+03:00,2025-11-19 21:00:00+03:00,43420.92
19,2024-10-25 19:00:00+03:00,2025-11-19 22:00:00+03:00,42527.52
20,2024-10-25 20:00:00+03:00,2025-11-19 23:00:00+03:00,41462.05
21,2024-10-25 21:00:00+03:00,2025-11-20 00:00:00+03:00,40184.67
22,2024-10-25 22:00:00+03:00,2025-11-20 01:00:00+03:00,38785.55
23,2024-10-25 23:00:00+03:00,2025-11-20 02:00:00+03:00,37025.54
24,2024-10-26 00:00:00+03:00,2025-11-19 03:00:00+03:00,34654.02
25,2024-10-26 01:00:00+03:00,2025-11-19 04:00:00+03:00,33039.76
26,2024-10-26 02:00:00+03:00,2025-11-19 05:00:00+03:00,31971.52
27,2024-10-26 03:00:00+03:00,2025-11-19 06:00:00+03:00,31090.87
28,2024-10-26 04:00:00+03:00,2025-11-19 07:00:00+03:00,30796.0
29,2024-10-26 05:00:00+03:00,2025-11-19 08:00:00+03:00,31032.29
30,2024-10-26 06:00:00+03:00,2025-11-19 09:00:00+03:00,31691.77
31,2024-10-26 07:00:00+03:00,2025-11-19 10:00:00+03:00,31904.5
32,2024-10-26 08:00:00+03:00,2025-11-19 11:00:00+03:00,35001.15
33,2024-10-26 09:00:00+03:00,2025-11-19 12:00:00+03:00,37443.56
34,2024-10-26 10:00:00+03:00,2025-11-19 13:00:00+03:00,37889.43
35,2024-10-26 11:00:00+03:00,2025-11-19 14:00:00+03:00,38555.21
36,2024-10-26 12:00:00+03:00,2025-11-19 15:00:00+03:00,37224.22
37,2024-10-26 13:00:00+03:00,2025-11-19 16:00:00+03:00,37428.05
38,2024-10-26 14:00:00+03:00,2025-11-19 17:00:00+03:00,37519.71
39,2024-10-26 15:00:00+03:00,2025-11-19 18:00:00+03:00,37236.86
40,2024-10-26 16:00:00+03:00,2025-11-19 19:00:00+03:00,37576.12
41,2024-10-26 17:00:00+03:00,2025-11-19 20:00:00+03:00,39068.76
42,2024-10-26 18:00:00+03:00,2025-11-19 21:00:00+03:00,40889.65
43,2024-10-26 19:00:00+03:00,2025-11-19 22:00:00+03:00,40340.36
44,2024-10-26 20:00:00+03:00,2025-11-19 23:00:00+03:00,39280.21
45,2024-10-26 21:00:00+03:00,2025-11-20 00:00:00+03:00,38077.83
46,2024-10-26 22:00:00+03:00,2025-11-20 01:00:00+03:00,36929.67
47,2024-10-26 23:00:00+03:00,2025-11-20 02:00:00+03:00,35034.04
48,2024-10-27 00:00:00+03:00,2025-11-19 03:00:00+03:00,32560.45
49,2024-10-27 01:00:00+03:00,2025-11-19 04:00:00+03:00,30936.32
50,2024-10-27 02:00:00+03:00,2025-11-19 05:00:00+03:00,29050.98
51,2024-10-27 03:00:00+03:00,2025-11-19 06:00:00+03:00,28897.53
52,2024-10-27 04:00:00+03:00,2025-11-19 07:00:00+03:00,28389.63
53,2024-10-27 05:00:00+03:00,2025-11-19 08:00:00+03:00,28543.8
54,2024-10-27 06:00:00+03:00,2025-11-19 09:00:00+03:00,28769.13
55,2024-10-27 07:00:00+03:00,2025-11-19 10:00:00+03:00,27769.17
56,2024-10-27 08:00:00+03:00,2025-11-19 11:00:00+03:00,28308.82
57,2024-10-27 09:00:00+03:00,2025-11-19 12:00:00+03:00,29513.22
58,2024-10-27 10:00:00+03:00,2025-11-19 13:00:00+03:00,30905.87
59,2024-10-27 11:00:00+03:00,2025-11-19 14:00:00+03:00,31830.34
60,2024-10-27 12:00:00+03:00,2025-11-19 15:00:00+03:00,31487.76
61,2024-10-27 13:00:00+03:00,2025-11-19 16:00:00+03:00,31582.01
62,2024-10-27 14:00:00+03:00,2025-11-19 17:00:00+03:00,30965.12
63,2024-10-27 15:00:00+03:00,2025-11-19 18:00:00+03:00,31536.86
64,2024-10-27 16:00:00+03:00,2025-11-19 19:00:00+03:00,32088.41
65,2024-10-27 17:00:00+03:00,2025-11-19 20:00:00+03:00,34184.66
66,2024-10-27 18:00:00+03:00,2025-11-19 21:00:00+03:00,36971.38
67,2024-10-27 19:00:00+03:00,2025-11-19 22:00:00+03:00,36875.2
68,2024-10-27 20:00:00+03:00,2025-11-19 23:00:00+03:00,36248.91
69,2024-10-27 21:00:00+03:00,2025-11-20 00:00:00+03:00,34715.57
70,2024-10-27 22:00:00+03:00,2025-11-20 01:00:00+03:00,34110.95
71,2024-10-27 23:00:00+03:00,2025-11-20 02:00:00+03:00,32389.95
72,2024-10-28 00:00:00+03:00,2025-11-19 03:00:00+03:00,30686.38
73,2024-10-28 01:00:00+03:00,2025-11-19 04:00:00+03:00,29059.17
74,2024-10-28 02:00:00+03:00,2025-11-19 05:00:00+03:00,27879.88
75,2024-10-28 03:00:00+03:00,2025-11-19 06:00:00+03:00,27338.91
76,2024-10-28 04:00:00+03:00,2025-11-19 07:00:00+03:00,27109.08
77,2024-10-28 05:00:00+03:00,2025-11-19 08:00:00+03:00,27406.5
78,2024-10-28 06:00:00+03:00,2025-11-19 09:00:00+03:00,28565.07
79,2024-10-28 07:00:00+03:00,2025-11-19 10:00:00+03:00,30141.81
80,2024-10-28 08:00:00+03:00,2025-11-19 11:00:00+03:00,34191.35
81,2024-10-28 09:00:00+03:00,2025-11-19 12:00:00+03:00,36234.09
82,2024-10-28 10:00:00+03:00,2025-11-19 13:00:00+03:00,36634.27
83,2024-10-28 11:00:00+03:00,2025-11-19 14:00:00+03:00,36940.16
84,2024-10-28 12:00:00+03:00,2025-11-19 15:00:00+03:00,35057.96
85,2024-10-28 13:00:00+03:00,2025-11-19 16:00:00+03:00,35071.18
86,2024-10-28 14:00:00+03:00,2025-11-19 17:00:00+03:00,35612.67
87,2024-10-28 15:00:00+03:00,2025-11-19 18:00:00+03:00,35754.94
88,2024-10-28 16:00:00+03:00,2025-11-19 19:00:00+03:00,36435.5
89,2024-10-28 17:00:00+03:00,2025-11-19 20:00:00+03:00,38189.3
90,2024-10-28 18:00:00+03:00,2025-11-19 21:00:00+03:00,39398.76
91,2024-10-28 19:00:00+03:00,2025-11-19 22:00:00+03:00,38559.69
92,2024-10-28 20:00:00+03:00,2025-11-19 23:00:00+03:00,37477.24
93,2024-10-28 21:00:00+03:00,2025-11-20 00:00:00+03:00,36344.27
94,2024-10-28 22:00:00+03:00,2025-11-20 01:00:00+03:00,35124.01
95,2024-10-28 23:00:00+03:00,2025-11-20 02:00:00+03:00,33470.6
96,2024-10-29 00:00:00+03:00,2025-11-19 03:00:00+03:00,31227.47
97,2024-10-29 01:00:00+03:00,2025-11-19 04:00:00+03:00,29644.47
98,2024-10-29 02:00:00+03:00,2025-11-19 05:00:00+03:00,28367.44
99,2024-10-29 03:00:00+03:00,2025-11-19 06:00:00+03:00,27749.38
100,2024-10-29 04:00:00+03:00,2025-11-19 07:00:00+03:00,27551.42
101,2024-10-29 05:00:00+03:00,2025-11-19 08:00:00+03:00,27872.52
102,2024-10-29 06:00:00+03:00,2025-11-19 09:00:00+03:00,28532.58
103,2024-10-29 07:00:00+03:00,2025-11-19 10:00:00+03:00,28941.23
104,2024-10-29 08:00:00+03:00,2025-11-19 11:00:00+03:00,31720.07
105,2024-10-29 09:00:00+03:00,2025-11-19 12:00:00+03:00,33422.05
106,2024-10-29 10:00:00+03:00,2025-11-19 13:00:00+03:00,34166.98
107,2024-10-29 11:00:00+03:00,2025-11-19 14:00:00+03:00,34659.46
108,2024-10-29 12:00:00+03:00,2025-11-19 15:00:00+03:00,33977.15
109,2024-10-29 13:00:00+03:00,2025-11-19 16:00:00+03:00,34274.46
110,2024-10-29 14:00:00+03:00,2025-11-19 17:00:00+03:00,34956.14
111,2024-10-29 15:00:00+03:00,2025-11-19 18:00:00+03:00,34707.68
112,2024-10-29 16:00:00+03:00,2025-11-19 19:00:00+03:00,35615.43
113,2024-10-29 17:00:00+03:00,2025-11-19 20:00:00+03:00,37324.24
114,2024-10-29 18:00:00+03:00,2025-11-19 21:00:00+03:00,38928.1
115,2024-10-29 19:00:00+03:00,2025-11-19 22:00:00+03:00,38352.14
116,2024-10-29 20:00:00+03:00,2025-11-19 23:00:00+03:00,37214.49
117,2024-10-29 21:00:00+03:00,2025-11-20 00:00:00+03:00,36253.48
118,2024-10-29 22:00:00+03:00,2025-11-20 01:00:00+03:00,35089.69
119,2024-10-29 23:00:00+03:00,2025-11-20 02:00:00+03:00,33438.59
120,2024-10-30 00:00:00+03:00,2025-11-19 03:00:00+03:00,31659.75
121,2024-10-30 01:00:00+03:00,2025-11-19 04:00:00+03:00,30056.71
122,2024-10-30 02:00:00+03:00,2025-11-19 05:00:00+03:00,29418.38
123,2024-10-30 03:00:00+03:00,2025-11-19 06:00:00+03:00,28911.41
124,2024-10-30 04:00:00+03:00,2025-11-19 07:00:00+03:00,28873.02
125,2024-10-30 05:00:00+03:00,2025-11-19 08:00:00+03:00,29170.48
126,2024-10-30 06:00:00+03:00,2025-11-19 09:00:00+03:00,30492.82
127,2024-10-30 07:00:00+03:00,2025-11-19 10:00:00+03:00,32714.75
128,2024-10-30 08:00:00+03:00,2025-11-19 11:00:00+03:00,37644.98
129,2024-10-30 09:00:00+03:00,2025-11-19 12:00:00+03:00,39858.38
130,2024-10-30 10:00:00+03:00,2025-11-19 13:00:00+03:00,40733.41
131,2024-10-30 11:00:00+03:00,2025-11-19 14:00:00+03:00,41068.63
132,2024-10-30 12:00:00+03:00,2025-11-19 15:00:00+03:00,39247.48
133,2024-10-30 13:00:00+03:00,2025-11-19 16:00:00+03:00,39772.77
134,2024-10-30 14:00:00+03:00,2025-11-19 17:00:00+03:00,40805.81
135,2024-10-30 15:00:00+03:00,2025-11-19 18:00:00+03:00,40546.15
136,2024-10-30 16:00:00+03:00,2025-11-19 19:00:00+03:00,41669.93
137,2024-10-30 17:00:00+03:00,2025-11-19 20:00:00+03:00,43120.66
138,2024-10-30 18:00:00+03:00,2025-11-19 21:00:00+03:00,43402.8
139,2024-10-30 19:00:00+03:00,2025-11-19 22:00:00+03:00,42288.15
140,2024-10-30 20:00:00+03:00,2025-11-19 23:00:00+03:00,41088.76
141,2024-10-30 21:00:00+03:00,2025-11-20 00:00:00+03:00,39948.55
142,2024-10-30 22:00:00+03:00,2025-11-20 01:00:00+03:00,38306.56
143,2024-10-30 23:00:00+03:00,2025-11-20 02:00:00+03:00,36392.03
144,2024-10-31 00:00:00+03:00,2025-11-19 03:00:00+03:00,34124.7
145,2024-10-31 01:00:00+03:00,2025-11-19 04:00:00+03:00,32497.82
146,2024-10-31 02:00:00+03:00,2025-11-19 05:00:00+03:00,31436.11
147,2024-10-31 03:00:00+03:00,2025-11-19 06:00:00+03:00,30758.89
148,2024-10-31 04:00:00+03:00,2025-11-19 07:00:00+03:00,30314.05
149,2024-10-31 05:00:00+03:00,2025-11-19 08:00:00+03:00,31133.5
150,2024-10-31 06:00:00+03:00,2025-11-19 09:00:00+03:00,32453.97
151,2024-10-31 07:00:00+03:00,2025-11-19 10:00:00+03:00,34472.06
152,2024-10-31 08:00:00+03:00,2025-11-19 11:00:00+03:00,38845.61
153,2024-10-31 09:00:00+03:00,2025-11-19 12:00:00+03:00,40394.99
154,2024-10-31 10:00:00+03:00,2025-11-19 13:00:00+03:00,40958.08
155,2024-10-31 11:00:00+03:00,2025-11-19 14:00:00+03:00,41102.92
156,2024-10-31 12:00:00+03:00,2025-11-19 15:00:00+03:00,39365.22
157,2024-10-31 13:00:00+03:00,2025-11-19 16:00:00+03:00,40033.43
158,2024-10-31 14:00:00+03:00,2025-11-19 17:00:00+03:00,40814.41
159,2024-10-31 15:00:00+03:00,2025-11-19 18:00:00+03:00,40636.92
160,2024-10-31 16:00:00+03:00,2025-11-19 19:00:00+03:00,41994.52
161,2024-10-31 17:00:00+03:00,2025-11-19 20:00:00+03:00,43177.32
162,2024-10-31 18:00:00+03:00,2025-11-19 21:00:00+03:00,43634.86
163,2024-10-31 19:00:00+03:00,2025-11-19 22:00:00+03:00,42667.42
164,2024-10-31 20:00:00+03:00,2025-11-19 23:00:00+03:00,41549.62
165,2024-10-31 21:00:00+03:00,2025-11-20 00:00:00+03:00,40360.55
166,2024-10-31 22:00:00+03:00,2025-11-20 01:00:00+03:00,38845.51
167,2024-10-31 23:00:00+03:00,2025-11-20 02:00:00+03:00,36803.36
168,2024-11-01 00:00:00+03:00,2025-11-19 03:00:00+03:00,34446.33
169,2024-11-01 01:00:00+03:00,2025-11-19 04:00:00+03:00,32678.18
170,2024-11-01 02:00:00+03:00,2025-11-19 05:00:00+03:00,31561.83
171,2024-11-01 03:00:00+03:00,2025-11-19 06:00:00+03:00,30957.34
172,2024-11-01 04:00:00+03:00,2025-11-19 07:00:00+03:00,30796.29
173,2024-11-01 05:00:00+03:00,2025-11-19 08:00:00+03:00,31197.55
174,2024-11-01 06:00:00+03:00,2025-11-19 09:00:00+03:00,32348.24
175,2024-11-01 07:00:00+03:00,2025-11-19 10:00:00+03:00,34279.16
176,2024-11-01 08:00:00+03:00,2025-11-19 11:00:00+03:00,38922.88
177,2024-11-01 09:00:00+03:00,2025-11-19 12:00:00+03:00,40487.15
178,2024-11-01 10:00:00+03:00,2025-11-19 13:00:00+03:00,40911.46
179,2024-11-01 11:00:00+03:00,2025-11-19 14:00:00+03:00,41019.74
180,2024-11-01 12:00:00+03:00,2025-11-19 15:00:00+03:00,38285.61
181,2024-11-01 13:00:00+03:00,2025-11-19 16:00:00+03:00,38315.46
182,2024-11-01 14:00:00+03:00,2025-11-19 17:00:00+03:00,39398.79
183,2024-11-01 15:00:00+03:00,2025-11-19 18:00:00+03:00,39726.03
184,2024-11-01 16:00:00+03:00,2025-11-19 19:00:00+03:00,41169.39
185,2024-11-01 17:00:00+03:00,2025-11-19 20:00:00+03:00,42508.36
186,2024-11-01 18:00:00+03:00,2025-11-19 21:00:00+03:00,42795.35
187,2024-11-01 19:00:00+03:00,2025-11-19 22:00:00+03:00,41758.52
188,2024-11-01 20:00:00+03:00,2025-11-19 23:00:00+03:00,40686.49
189,2024-11-01 21:00:00+03:00,2025-11-20 00:00:00+03:00,39568.57
190,2024-11-01 22:00:00+03:00,2025-11-20 01:00:00+03:00,38238.86
191,2024-11-01 23:00:00+03:00,2025-11-20 02:00:00+03:00,36737.92
