DATE,TUFE_mom,UFE_mom,M2_yoy,TL_FAIZ_lvl,DID_factor_raw,pi_hat_monthly,DID_monthly,DID_index
2021-01,0.016818208831045345,0.024833075683320827,0.3388993402517879,16.36,-0.5916966553448091,0.01956681628167908,1.0195668162816791,67.6584609625591
2021-02,0.009078511591662064,0.025739777906155892,0.30104029846169156,16.2175,-0.7337155486571344,0.015676987445147606,1.0355505524600161,68.71914180562715
2021-03,0.010753726156459864,0.011279724655819612,0.31238331831751665,16.8125,-0.9013825085784598,0.011084670462355457,1.0470292890811457,69.48087084699841
2021-04,0.01678986877542843,0.021271329342058554,0.22819429424550397,17.784,-0.664910786772882,0.01756151661324541,1.0654167113358988,70.70106031468073
2021-05,0.008885632702133828,0.002908385845855621,0.25964386883776536,17.8925,-1.0648078618481827,0.0066085290353771545,1.0724575486075383,71.16829032460227
2021-06,0.019420910529746038,0.008760270662155456,0.25407766932023823,17.92,-0.7839882418257027,0.01430004268085388,1.08779373732603,72.18599991376747
2021-07,0.018046321326806503,0.027744505000898423,0.211099355950489,17.886000000000003,-0.5543654137745585,0.020589300942534278,1.1101906499472396,73.67225918982977
2021-08,0.011195636572412848,0.03181771827333524,0.19342702402199108,17.96,-0.6315968857195431,0.018473968259306695,1.130700276776144,75.03327816769412
2021-09,0.012526614620298027,0.004955877162019062,0.22016945644720143,18.04,-0.9749410332826225,0.009069938028567842,1.1409556582153884,75.71382535075541
2021-10,0.023937195527985233,0.019234011464538625,0.24156673313955035,16.916,-0.5538506538864646,0.020603399967036556,1.1644632239862533,77.27378757749136
2021-11,0.035117743702081095,0.039189468605693056,0.5150502641554171,15.37,-0.007985682527697074,0.035554377663885604,1.2058649892275664,80.02120900454035
2021-12,0.13575491038952459,0.15989282113864278,0.5355822149885607,16.426,3.5903551287193745,0.13411119306220814,1.367584981604822,90.75294881441957
2022-01,0.11104156052114411,0.1089750920610233,0.5547907152669855,17.6675,2.414042907744326,0.10189256995372896,1.5069317300106604,100.0
2022-02,0.04808511195838738,0.08412824452671419,0.5956125265888228,16.7925,0.8789374516737196,0.05984677357501564,1.5971167320496151,105.98467735750157
2022-03,0.054642281199605014,0.04728476443226892,0.6196702848117819,15.625,0.4966811079152444,0.0493769571004652,1.675977496412464,111.21787822468956
2022-04,0.07248352377791467,0.1338147138964576,0.6492578407491514,15.691999999999998,2.0463765576473243,0.09182236635282909,1.8298697160871467,121.43016698402135
2022-05,0.02980802175090358,0.016349843390770058,0.7073482342186475,15.5225,-0.3891045723352339,0.025115715503211258,1.8758282032843336,124.47997251149948
2022-06,0.049519189490855986,0.02089474596844121,0.7079964931060865,16.259999999999998,0.04875055534538,0.03710835579318744,1.9454371036587044,129.0992196205824
2022-07,0.02365272522752848,0.031515151515151496,0.8288844609886197,17.378,-0.2727947909021424,0.028301384193039358,2.000495666552743,132.75290623408608
2022-08,0.014604956894398669,0.008539971708069194,0.89539065285,16.9425,-0.7512538173242665,0.015196622744274909,2.030896444498902,134.77030206833157
2022-09,0.030758627479939182,0.019718288954196028,0.8717983606114801,15.91,-0.29200649867299844,0.027775184804048583,2.0873049685627443,138.51357211437696
2022-10,0.035447850299458405,0.05090062224809877,0.8246204050923684,15.6625,0.22215354433152373,0.04185777983929436,2.1746749203943088,144.31144272069477
2022-11,0.028837638376383756,0.057472697179343335,0.56745523360836,16.065,0.13671592103637092,0.03951768463740226,2.2606130380873193,150.01429680369975
2022-12,0.011826838584724664,0.01855296074604773,0.6070987525022211,17.186,-0.7218768290533468,0.016001244252311635,2.2967856594697147,152.41471220819452
2023-01,0.06648943240728422,0.06617330307141356,0.6395196207551126,17.945,0.9869296740949562,0.06280462834417957,2.4410344291989516,161.98706156261528
2023-02,0.03145046033170473,0.07355433202872952,0.6297039460340181,19.0875,0.4199165285039055,0.04727441237804043,2.5564328974338975,169.64490471083337
2023-03,0.022894798321155596,0.03837209302325584,0.5918281064132891,19.746000000000002,-0.24064680955913556,0.029181901861834985,2.6310344713631797,174.59546567146523
2023-04,0.02385508958456395,0.03946421712622605,0.6177156253053768,20.9825,-0.20314340813501097,0.03020910189786649,2.7105156598053894,179.86983788484
2023-05,0.0004307559767391389,0.007098768644676401,0.5146420690344697,23.2775,-1.1217619202798668,0.005048584906268552,2.7241999282536873,180.77792603347837
2023-06,0.03920498231585423,0.03023099581416977,0.6916170340885672,29.926,-0.03278373277175781,0.034875171054966535,2.8192068667394623,187.08258712685802
2023-07,0.09488824273633267,0.07708166131621197,0.6541223924514235,27.482499999999998,1.6737362360884467,0.08161592807798383,3.0492990516122283,202.3515061024468
2023-08,0.09086793166828855,0.08475878673850978,0.6521920058133539,24.9775,1.7058954781888958,0.0824967541734824,3.3008563258745154,219.04484855801425
2023-09,0.04753114333678177,0.03315631077547909,0.6553632356442214,33.418,0.1561702018361461,0.04005052798439642,3.4330573645264244,227.81771039502487
2023-10,0.03433981455199153,0.03202991896945773,0.653399879066914,37.5075,-0.11451351509444133,0.03263663182495675,3.5451007937664296,235.25291313239194
2023-11,0.032810972437411046,0.02775429017788844,0.6579144013410703,40.8025,-0.20511309944215725,0.030155153005103658,3.6520038506209707,242.34700072279554
2023-12,0.029272073069471327,0.048109507896149095,0.6645980829768396,45.638,0.00794401695707361,0.03599068443242852,3.783441968754684,251.06923514895524
2024-01,0.06703309705385663,0.05189305164635116,0.6252876415807236,46.23,0.7709396189552531,0.05688876514252256,3.998677310345532,265.3522539018569
2024-02,0.045291882138285056,0.08250122595180054,0.620735062510414,46.735,0.7818786784294849,0.057188380693629706,4.2273551906405515,280.52731961590894
2024-03,0.03162670935637535,0.03403461893241322,0.5814129981131841,50.992000000000004,-0.16425863512584904,0.03127413703386337,4.359562076163458,289.3005694513193
2024-04,0.03179759473140553,0.027815961320512228,0.5227056138635977,59.542500000000004,-0.26663728357944844,0.02847003534209665,4.483678962547896,297.536966888087
2024-05,0.0336806342015854,0.01690753364364439,0.560555155935359,59.172000000000004,-0.3748374770164345,0.02550648434734358,4.598041849824638,305.12608887677413
2024-06,0.016407739334312055,0.017750239190851502,0.4087173846349337,56.795,-0.7197117833144527,0.01606054380852659,4.671888902387185,310.0265797943039
2024-07,0.03225556096908955,0.018344927614085016,0.3709009088706843,56.0575,-0.4166615448014859,0.024360943348276938,4.785700523267683,317.57911974113307
2024-08,0.02474416273338642,-0.010995645114967867,0.3615002483622509,55.416,-0.9692843609343902,0.009224871549775998,4.829847995870523,320.50874632763595
2024-09,0.029681984559824404,0.024846358534287294,0.33443271484787385,56.1175,-0.38239781901679465,0.025299410234588975,4.952040301688759,328.6174285847526
2024-10,0.028798650916806556,0.04325172975114122,0.3160779990506899,56.019999999999996,-0.14656688921970976,0.03175870540212227,5.1093106907695285,339.05389268917867
2024-11,0.022440176843369075,0.05103681080212197,0.30195583492935696,55.896,-0.16189276189827936,0.03133893715791405,5.269431057427813,349.679481325311
2024-12,0.010281383244958198,0.012918179588801593,0.2871654959604364,56.0925,-0.9269347867721679,0.010384805914485935,5.324153076238965,353.31083487115245
